"3-Digit ZIP Code Prefix","Prefix Modifier","Column A 3-Digit Destinations Label To","Unique 3-digit city","Column B 3-Digit/Scheme Destinations Label To","Scheme modifier","Column C SCF Destinations Label To"
"	667","	","	KANSAS CITY MO 667","	","	KANSAS CITY MO 667 ","	","	SCF KANSAS CITY MO 640"
"	668","	","	KANSAS CITY MO 668","	","	KANSAS CITY  MO 668 ","	","	SCF KANSAS CITY MO 640"
"	669","	","	SALINA KS 669","	","	SALINA KS 674 ","	S","	SCF WICHITA KS 670"
"	670","	N","	WICHITA KS 670","	","	WICHITA KS 670 ","	S","	SCF WICHITA KS 670"
"	671","	N","	WICHITA KS 671","	","	WICHITA KS 670 ","	S","	SCF WICHITA KS 670"
"	672","	","	WICHITA KS 672","	U","	WICHITA KS 672 ","	","	SCF WICHITA KS 670"
"	673","	","	WICHITA KS 673","	","	WICHITA KS 673 ","	","	SCF WICHITA KS 670"
"	674","	","	SALINA KS 674","	","	SALINA KS 674 ","	S","	SCF WICHITA KS 670"
"	675","	","	WICHITA  KS 675","	","	WICHITA KS 675 ","	","	SCF WICHITA KS 670"
"	676","	","	WICHITA KS 676","	","	WICHITA KS 676 ","	","	SCF WICHITA KS 670"
"	677","	","	NORTH PLATTE  NE 677","	","	NORTH PLATTE  NE 677 ","	","	SCF NORTH PLATTE NE 691"
"	678","	","	WICHITA KS 678","	","	WICHITA KS 678 ","	","	SCF WICHITA KS 670"
"	679","	","	AMARILLO TX 679","	","	AMARILLO TX 679 ","	","	SCF AMARILLO TX 790"
"	680","	","	OMAHA NE 680","	","	OMAHA NE 680 ","	","	SCF OMAHA NE 680"
"	681","	","	OMAHA NE 681","	U","	OMAHA NE 681 ","	","	SCF OMAHA NE 680"
"	683","	","	OMAHA NE 683","	","	OMAHA NE 683 ","	","	SCF OMAHA NE 680"
"	684","	","	OMAHA NE 684","	","	OMAHA NE 684 ","	","	SCF OMAHA NE 680"
"	685","	","	OMAHA NE 685","	","	OMAHA NE 685 ","	","	SCF OMAHA NE 680"
"	686","	","	OMAHA NE 686","	","	OMAHA NE 686 ","	","	SCF OMAHA NE 680"
"	687","	","	OMAHA NE 687","	","	OMAHA NE 687 ","	","	SCF OMAHA NE 680"
"	688","	","	OMAHA NE 688","	","	OMAHA NE 688 ","	","	SCF OMAHA NE 680"
"	689","	","	OMAHA NE 689","	","	OMAHA NE 689 ","	","	SCF OMAHA NE 680"
"	690","	","	NORTH PLATTE NE 690","	","	NORTH PLATTE NE 690 ","	","	SCF NORTH PLATTE NE 691"
"	691","	","	NORTH PLATTE NE 691","	","	NORTH PLATTE NE 691 ","	","	SCF NORTH PLATTE NE 691"
"	692","	","	NORTH PLATTE NE 692","	","	NORTH PLATTE NE 692 ","	","	SCF NORTH PLATTE NE 691"
"	693","	","	NORTH PLATTE  NE 693","	","	NORTH PLATTE NE 693 ","	","	SCF NORTH PLATTE NE 691"
"	700","	","	NEW ORLEANS LA 700","	","	NEW ORLEANS LA 700 ","	","	SCF NEW ORLEANS LA 700"
"	701","	","	NEW ORLEANS LA 701","	U","	NEW ORLEANS LA 701 ","	","	SCF NEW ORLEANS LA 700"
"	703","	","	NEW ORLEANS LA 703","	","	NEW ORLEANS LA 703 ","	","	SCF NEW ORLEANS LA 700"
"	704","	","	NEW ORLEANS LA 704","	","	NEW ORLEANS LA 704 ","	","	SCF NEW ORLEANS LA 700"
"	705","	","	LAFAYETTE LA 705","	","	LAFAYETTE LA 705 ","	","	SCF LAFAYETTE LA 705"
"	706","	","	LAFAYETTE LA 706","	","	LAFAYETTE LA 706 ","	","	SCF LAFAYETTE LA 705"
"	707","	","	BATON ROUGE LA 707","	","	BATON ROUGE LA 707 ","	","	SCF BATON ROUGE LA 707"
"	708","	","	BATON ROUGE LA 708","	U","	BATON ROUGE LA 708 ","	","	SCF BATON ROUGE LA 707"
"	710","	","	SHREVEPORT LA 710","	","	SHREVEPORT LA 710 ","	","	SCF SHREVEPORT LA 710"
"	711","	","	SHREVEPORT LA 711","	","	SHREVEPORT LA 711 ","	","	SCF SHREVEPORT LA 710"
"	712","	","	SHREVEPORT LA 712","	","	SHREVEPORT LA 712 ","	","	SCF SHREVEPORT LA 710"
"	713","	","	SHREVEPORT LA 713","	","	SHREVEPORT LA 713 ","	","	SCF SHREVEPORT LA 710"
"	714","	","	SHREVEPORT LA 714","	","	SHREVEPORT LA 714 ","	","	SCF SHREVEPORT LA 710"
"	716","	","	LITTLE ROCK AR 716","	","	LITTLE ROCK AR 716 ","	","	SCF LITTLE ROCK AR 720"
"	717","	","	LITTLE ROCK AR 717","	","	LITTLE ROCK AR 717 ","	","	SCF LITTLE ROCK AR 720"
"	718","	","	SHREVEPORT LA 718","	","	SHREVEPORT LA 718 ","	","	SCF SHREVEPORT LA 710"
"	719","	","	LITTLE ROCK AR 719","	","	LITTLE ROCK AR 719 ","	","	SCF LITTLE ROCK AR 720"
"	720","	N","	LITTLE ROCK AR 720","	","	LITTLE ROCK AR 720 ","	","	SCF LITTLE ROCK AR 720"
"	721","	N","	LITTLE ROCK AR 721","	","	LITTLE ROCK AR 721 ","	","	SCF LITTLE ROCK AR 720"
"	722","	","	LITTLE ROCK AR 722","	U","	LITTLE ROCK AR 722 ","	","	SCF LITTLE ROCK AR 720"
"	723","	","	MEMPHIS TN 723","	","	MEMPHIS TN 723 ","	","	SCF MEMPHIS TN 380"
"	724","	","	MEMPHIS TN 724","	","	MEMPHIS TN 724 ","	","	SCF MEMPHIS TN 380"
"	725","	","	LITTLE ROCK AR 725","	","	LITTLE ROCK AR 725 ","	","	SCF LITTLE ROCK AR 720"
"	726","	","	NW ARKANSAS AR 726","	","	NW ARKANSAS AR 726 ","	","	SCF NW ARKANSAS AR 727"
"	727","	","	NW ARKANSAS AR 727","	","	NW ARKANSAS AR 727 ","	","	SCF NW ARKANSAS AR 727"
"	728","	","	LITTLE ROCK AR 728","	","	LITTLE ROCK AR 728 ","	","	SCF LITTLE ROCK AR 720"
"	729","	","	NW ARKANSAS AR 729","	","	NW ARKANSAS AR 729 ","	","	SCF NW ARKANSAS AR 727"
"	730","	","	OKLAHOMA CITY OK 730","	","	OKLAHOMA CITY OK 730 ","	","	SCF OKLAHOMA CITY OK 730"
"	731","	","	OKLAHOMA CITY OK 731","	U","	OKLAHOMA CITY OK 731 ","	","	SCF OKLAHOMA CITY OK 730"
"	733","	","	AUSTIN TX 733","	","	AUSTIN TX 733 ","	","	SCF AUSTIN TX 786"
"	734","	","	OKLAHOMA CITY OK 734","	","	OKLAHOMA CITY OK 734 ","	","	SCF OKLAHOMA CITY OK 730"
"	735","	","	OKLAHOMA CITY OK 735","	","	OKLAHOMA CITY OK 735 ","	","	SCF OKLAHOMA CITY OK 730"
"	736","	","	OKLAHOMA CITY OK 736","	","	OKLAHOMA CITY OK 736 ","	","	SCF OKLAHOMA CITY OK 730"
"	737","	","	OKLAHOMA CITY OK 737","	","	OKLAHOMA CITY OK 737 ","	","	SCF OKLAHOMA CITY OK 730"
"	738","	","	OKLAHOMA CITY OK 738","	","	OKLAHOMA CITY OK 738 ","	","	SCF OKLAHOMA CITY OK 730"
"	739","	","	AMARILLO TX 739","	","	AMARILLO TX 739 ","	","	SCF AMARILLO TX 790"
"	740","	","	TULSA OK 740","	","	TULSA OK 740 ","	","	SCF TULSA OK 740"
"	741","	","	TULSA OK 741","	U","	TULSA OK 741 ","	","	SCF TULSA OK 740"
"	743","	","	TULSA OK 743","	","	TULSA OK 743 ","	","	SCF TULSA OK 740"
"	744","	","	TULSA OK 744","	","	TULSA OK 744 ","	","	SCF TULSA OK 740"
"	745","	","	TULSA OK 745","	","	TULSA OK 745 ","	","	SCF TULSA OK 740"
"	746","	","	TULSA OK 746","	","	TULSA OK 746 ","	","	SCF TULSA OK 740"
"	747","	","	TULSA OK 747","	","	TULSA OK 747 ","	","	SCF TULSA OK 740"
"	748","	","	OKLAHOMA CITY OK 748","	","	OKLAHOMA CITY OK 748 ","	","	SCF OKLAHOMA CITY OK 730"
"	749","	","	TULSA OK 749","	","	TULSA OK 749 ","	","	SCF TULSA OK 740"
"	750","	","	NORTH TEXAS TX 750","	","	NORTH TEXAS TX 750 ","	","	SCF NORTH TEXAS TX 750"
"	751","	","	DALLAS TX 751","	","	DALLAS TX 751 ","	","	SCF DALLAS TX 752"
"	752","	","	DALLAS TX 752","	U","	DALLAS TX 752 ","	S","	SCF DALLAS TX 752"
"	753","	","	DALLAS TX 753","	U","	DALLAS TX 752 ","	S","	SCF DALLAS TX 752"
"	754","	","	NORTH TEXAS TX 754","	","	NORTH TEXAS TX 754 ","	","	SCF NORTH TEXAS TX 750"
"	755","	","	SHREVEPORT LA 755","	","	SHREVEPORT LA 755 ","	","	SCF SHREVEPORT LA 710"
"	756","	","	SHREVEPORT LA 756","	","	SHREVEPORT LA 756 ","	","	SCF SHREVEPORT LA 710"
"	757","	","	NORTH TEXAS TX 757","	","	NORTH TEXAS TX 757 ","	","	SCF NORTH TEXAS TX 750"
"	758","	","	NORTH TEXAS TX 758","	","	NORTH TEXAS TX 758 ","	","	SCF NORTH TEXAS TX 750"
"	759","	","	NORTH HOUSTON  TX 759","	","	NORTH HOUSTON  TX 759 ","	","	SCF SHREVEPORT LA 710"
"	760","	","	FT WORTH TX 760","	","	FT WORTH TX 760 ","	","	SCF FT WORTH TX 760"
"	761","	","	FT WORTH TX 761","	U","	FT WORTH TX 761 ","	","	SCF FT WORTH TX 760"
"	762","	","	FT WORTH TX 762","	","	FT WORTH TX 762 ","	","	SCF FT WORTH TX 760"
"	763","	","	FT WORTH  TX 763","	","	FT WORTH TX 763 ","	","	SCF FT WORTH TX 760"
"	764","	","	FT WORTH TX 764","	","	FT WORTH TX 764 ","	","	SCF FT WORTH TX 760"
"	765","	","	AUSTIN TX 765","	","	AUSTIN TX 765 ","	","	SCF AUSTIN TX 786"
"	766","	","	FT WORTH TX 766","	","	FT WORTH TX 766 ","	","	SCF FT WORTH TX 760"
"	767","	","	FT WORTH TX 767","	","	FT WORTH TX 767 ","	","	SCF FT WORTH TX 760"
"	768","	","	ABILENE TX 768","	","	ABILENE TX 768 ","	","	SCF ABILENE TX 795"
"	769","	","	ABILENE TX 769","	","	ABILENE TX 769 ","	","	SCF ABILENE TX 795"
"	770","	","	NORTH HOUSTON TX 770","	","	NORTH HOUSTON TX 770 ","	","	SCF NORTH HOUSTON TX 773"
"	772","	","	NORTH HOUSTON TX 772","	","	NORTH HOUSTON TX 772 ","	","	SCF NORTH HOUSTON TX 773"
"	773","	","	NORTH HOUSTON TX 773","	","	NORTH HOUSTON TX 773 ","	","	SCF NORTH HOUSTON TX 773"
"	774","	","	NORTH HOUSTON TX 774","	","	NORTH HOUSTON TX 774 ","	","	SCF NORTH HOUSTON TX 773"
"	775","	","	NORTH HOUSTON TX 775","	","	NORTH HOUSTON TX 775 ","	","	SCF NORTH HOUSTON TX 773"
"	776","	","	NORTH HOUSTON TX 776","	","	NORTH HOUSTON TX 776 ","	","	SCF NORTH HOUSTON TX 773"
"	777","	","	NORTH HOUSTON TX 777","	","	NORTH HOUSTON TX 777 ","	","	SCF NORTH HOUSTON TX 773"
"	778","	","	NORTH HOUSTON  TX 778","	","	NORTH HOUSTON  TX 778 ","	","	SCF NORTH HOUSTON TX 773"
"	779","	","	CORPUS CHRISTI TX 779","	","	CORPUS CHRISTI TX 779 ","	","	SCF CORPUS CHRISTI TX 783"
"	780","	","	SAN ANTONIO TX 780","	","	SAN ANTONIO TX 780 ","	","	SCF SAN ANTONIO TX 780"
"	781","	","	SAN ANTONIO TX 781","	","	SAN ANTONIO TX 781 ","	","	SCF SAN ANTONIO TX 780"
"	782","	","	SAN ANTONIO TX 782","	U","	SAN ANTONIO TX 782 ","	","	SCF SAN ANTONIO TX 780"
"	783","	","	CORPUS CHRISTI TX 783","	","	CORPUS CHRISTI TX 783 ","	","	SCF CORPUS CHRISTI TX 783"
"	784","	","	CORPUS CHRISTI TX 784","	U","	CORPUS CHRISTI TX 784 ","	","	SCF CORPUS CHRISTI TX 783"
"	785","	","	MCALLEN TX 785","	","	MCALLEN TX 785 ","	","	MCALLEN TX 785"
"	786","	N","	AUSTIN TX 786","	","	AUSTIN TX 786 ","	S","	SCF AUSTIN TX 786"
"	787","	","	AUSTIN TX 787","	U","	AUSTIN TX 787 ","	","	SCF AUSTIN TX 786"
"	788","	","	SAN ANTONIO TX 788","	","	SAN ANTONIO TX 788 ","	","	SCF SAN ANTONIO TX 780"
"	789","	N","	AUSTIN TX 789","	","	AUSTIN TX 786 ","	S","	SCF AUSTIN TX 786"
"	790","	","	AMARILLO TX 790","	","	AMARILLO TX 790 ","	","	SCF AMARILLO TX 790"
"	791","	","	AMARILLO TX 791","	U","	AMARILLO TX 791 ","	","	SCF AMARILLO TX 790"
"	792","	","	AMARILLO TX 792","	","	AMARILLO TX 792 ","	","	SCF AMARILLO TX 790"
"	793","	","	LUBBOCK TX 793","	","	LUBBOCK TX 793 ","	","	SCF LUBBOCK TX 793"
"	794","	","	LUBBOCK TX 794","	U","	LUBBOCK TX 794 ","	","	SCF LUBBOCK TX 793"
"	795","	","	ABILENE TX 795","	","	ABILENE TX 795 ","	","	SCF ABILENE TX 795"
"	796","	","	ABILENE TX 796","	U","	ABILENE TX 796 ","	","	SCF ABILENE TX 795"
"	797","	","	MIDLAND TX 797","	","	MIDLAND TX 797 ","	","	MIDLAND TX 797"
"	798","	","	EL PASO TX 798","	","	EL PASO TX 798 ","	","	SCF EL PASO TX 798"
"	799","	","	EL PASO TX 799","	U","	EL PASO TX 799 ","	","	SCF EL PASO TX 798"
"	800","	","	DENVER CO 800","	","	DENVER CO 800 ","	","	SCF DENVER CO 800"
"	801","	","	DENVER CO 801","	","	DENVER CO 801 ","	","	SCF DENVER CO 800"
"	802","	","	DENVER CO 802","	U","	DENVER CO 802 ","	","	SCF DENVER CO 800"
"	803","	","	BOULDER CO 803","	U","	BOULDER CO 803 ","	","	SCF DENVER CO 800"
"	804","	","	DENVER CO 804","	","	DENVER CO 804 ","	","	SCF DENVER CO 800"
"	805","	","	LONGMONT CO 805","	","	LONGMONT CO 805 ","	","	SCF DENVER CO 800"
"	806","	","	DENVER CO 806","	","	DENVER CO 806 ","	","	SCF DENVER CO 800"
"	807","	","	DENVER CO 807","	","	DENVER CO 807 ","	","	SCF DENVER CO 800"
"	808","	","	COLORADO SPGS CO 808","	","	COLORADO SPGS CO 808 ","	S","	SCF DENVER CO 808"
"	809","	","	COLORADO SPGS CO 809","	","	COLORADO SPGS CO 808 ","	S","	SCF DENVER CO 808"
"	810","	","	COLORADO SPGS CO 810","	","	COLORADO SPGS CO 810 ","	","	SCF DENVER CO 808"
"	811","	","	DENVER CO 811","	","	DEVNER CO 811 ","	","	SCF DENVER CO 800"
"	812","	","	DENVER CO 812","	","	DENVER CO 812 ","	","	SCF DENVER CO 800"
"	813","	","	ALBUQUERQUE NM 813","	","	ALBUQUERQUE NM 813 ","	","	SCF ALBUQUERQUE NM 870"
"	814","	","	GRAND JUNCTION CO 814","	","	GRAND JUNCTION CO 814 ","	","	SCF GRAND JUNCTION CO 814"
"	815","	","	GRAND JUNCTION CO 815","	","	GRAND JUNCTION CO 815 ","	","	SCF GRAND JUNCTION CO 814"
"	816","	","	GRAND JUNCTION CO 816","	","	GRAND JUNCTION CO 816 ","	","	SCF GRAND JUNCTION CO 814"
"	820","	","	CHEYENNE WY 820","	","	CHEYENNE WY 820 ","	","	SCF CHEYENNE WY 820"
"	821","	","	YELLOWSTONE NL PK WY 821","	U","	YELLOWSTONE NL PK WY 821 ","	","	SCF BILLINGS MT 590"
"	822","	","	CHEYENNE WY 822","	","	CHEYENNE WY 822 ","	","	SCF CHEYENNE WY 820"
"	823","	","	CHEYENNE WY 823","	","	CHEYENNE WY 823 ","	","	SCF CHEYENNE WY 820"
"	824","	","	CASPER WY 824","	","	CASPER WY 824 ","	","	SCF CASPER WY 826"
"	825","	","	CASPER WY 825","	","	CASPER WY 825 ","	","	SCF CASPER WY 826"
"	826","	","	CASPER WY 826","	","	CASPER WY 826 ","	","	SCF CASPER WY 826"
"	827","	","	CASPER WY 827","	","	CASPER WY 827 ","	","	SCF CASPER WY 826"
"	828","	","	CASPER WY 828","	","	CASPER WY 828 ","	","	SCF CASPER WY 826"
"	829","	","	SALT LAKE CITY UT 829","	","	SALT LAKE CITY UT 829 ","	","	SCF SALT LAKE CITY UT 840"
"	830","	","	SALT LAKE CITY UT 830","	","	SALT LAKE CITY UT 830 ","	","	SCF SALT LAKE CITY UT 840"
"	831","	","	SALT LAKE CITY UT 831","	","	SALT LAKE CITY UT 831 ","	","	SCF SALT LAKE CITY UT 840"
"	832","	","	SALT LAKE CITY UT 832","	","	SALT LAKE CITY UT 832 ","	","	SCF SALT LAKE CITY UT 840"
"	833","	","	BOISE ID 833","	","	BOISE  ID 833 ","	","	SCF BOISE ID 836"
"	834","	","	SALT LAKE CITY UT 834","	","	SALT LAKE CITY UT 834 ","	","	SCF SALT LAKE CITY UT 840"
"	835","	","	SPOKANE WA 835","	","	SPOKANE WA 835 ","	","	SCF SPOKANE WA 990"
"	836","	","	BOISE ID 836","	","	BOISE ID 836 ","	","	SCF BOISE ID 836"
"	837","	","	BOISE ID 837","	U","	BOISE ID 837 ","	","	SCF BOISE ID 836"
"	838","	","	SPOKANE WA 838","	","	SPOKANE WA 838 ","	","	SCF SPOKANE WA 990"
"	840","	","	SALT LAKE CITY UT 840","	","	SALT LAKE CITY UT 840 ","	S","	SCF SALT LAKE CITY UT 840"
"	841","	","	SALT LAKE CITY UT 841","	","	SALT LAKE CITY UT 840 ","	S","	SCF SALT LAKE CITY UT 840"
"	842","	","	SALT LAKE CITY UT 842","	","	SALT LAKE CITY UT 840 ","	S","	SCF SALT LAKE CITY UT 840"
"	843","	","	SALT LAKE CITY UT 843","	","	SALT LAKE CITY UT 840 ","	S","	SCF SALT LAKE CITY UT 840"
"	844","	","	SALT LAKE CITY UT 844","	","	SALT LAKE CITY UT 840 ","	S","	SCF SALT LAKE CITY UT 840"
"	845","	","	PROVO UT 845","	","	PROVO UT 845 ","	","	SCF PROVO UT 846"
"	846","	","	PROVO UT 846","	","	PROVO UT 846 ","	","	SCF PROVO UT 846"
"	847","	","	PROVO UT 847","	","	PROVO UT 847 ","	","	SCF PROVO UT 846"
"	850","	N","	PHOENIX AZ 850","	U","	PHOENIX AZ 850 ","	","	SCF PHOENIX AZ 852"
"	851","	","	PHOENIX AZ 851","	","	PHOENIX AZ 851 ","	","	SCF PHOENIX AZ 852"
"	852","	N","	PHOENIX AZ 852","	","	PHOENIX AZ 852 ","	","	SCF PHOENIX AZ 852"
"	853","	N","	PHOENIX AZ 853","	","	PHOENIX AZ 853 ","	","	SCF PHOENIX AZ 852"
"	855","	","	PHOENIX AZ 855","	","	PHOENIX AZ 855 ","	","	SCF PHOENIX AZ 852"
"	856","	","	TUCSON AZ 856","	","	TUCSON AZ 856 ","	","	SCF TUCSON AZ 856"
"	857","	","	TUCSON AZ 857","	U","	TUCSON AZ 857 ","	","	SCF TUCSON AZ 856"
"	859","	","	PHOENIX AZ 859","	","	PHOENIX AZ 859 ","	","	SCF PHOENIX AZ 852"
"	860","	","	PHOENIX  AZ 860","	","	PHOENIX AZ 860 ","	","	SCF PHOENIX AZ 852"
"	863","	","	PHOENIX AZ 863","	","	PHOENIX AZ 863 ","	","	SCF PHOENIX AZ 852"
"	864","	","	LAS VEGAS NV 864","	","	LAS VEGAS NV 864 ","	","	SCF LAS VEGAS NV 890"
"	865","	","	ALBUQUERQUE NM 865","	","	ALBUQUERQUE NM 865 ","	","	SCF ALBUQUERQUE NM 870"
"	870","	","	ALBUQUERQUE NM 870","	","	ALBUQUERQUE NM 870 ","	","	SCF ALBUQUERQUE NM 870"
"	871","	","	ALBUQUERQUE NM 871","	U","	ALBUQUERQUE NM 871 ","	","	SCF ALBUQUERQUE NM 870"
"	873","	","	ALBUQUERQUE NM 873","	","	ALBUQUERQUE NM 873 ","	","	SCF ALBUQUERQUE NM 870"
"	874","	","	ALBUQUERQUE NM 874","	","	ALBUQUERQUE NM 874 ","	","	SCF ALBUQUERQUE NM 870"
"	875","	","	ALBUQUERQUE NM 875","	","	ALBUQUERQUE NM 875 ","	","	SCF ALBUQUERQUE NM 870"
"	876","	","	ALBUQUERQUE NM 876","	","	ALBUQUERQUE NM 876 ","	","	SCF ALBUQUERQUE NM 870"
"	877","	","	ALBUQUERQUE NM 877","	","	ALBUQUERQUE NM 877 ","	","	SCF ALBUQUERQUE NM 870"
"	878","	","	ALBUQUERQUE  NM 878","	","	ALBUQUERQUE  NM 878 ","	","	SCF ALBUQUERQUE NM 870"
"	879","	","	ALBUQUERQUE NM 879","	","	ALBUQUERQUE NM 879 ","	","	SCF ALBUQUERQUE NM 870"
"	880","	","	EL PASO  TX 880","	","	EL PASO  TX 880 ","	","	SCF EL PASO TX 798"
"	881","	","	LUBBOCK TX 881","	","	LUBBOCK TX 881 ","	","	SCF LUBBOCK TX 793"
"	882","	","	LUBBOCK TX 882","	","	LUBBOCK TX 882 ","	","	SCF LUBBOCK TX 793"
"	883","	","	EL PASO TX 883","	","	EL PASO TX 883 ","	","	SCF EL PASO TX 798"
"	884","	","	ALBUQUERQUE NM 884","	","	ALBUQUERQUE NM 884 ","	","	SCF ALBUQUERQUE NM 870"
"	885","	","	EL PASO TX 885","	U","	EL PASO TX 885 ","	","	SCF EL PASO TX 798"
"	889","	","	LAS VEGAS NV 889","	U","	LAS VEGAS NV 890 ","	S","	SCF LAS VEGAS NV 890"
"	890","	","	LAS VEGAS NV 890","	","	LAS VEGAS NV 890 ","	S","	SCF LAS VEGAS NV 890"
"	891","	","	LAS VEGAS NV 891","	U","	LAS VEGAS NV 890 ","	S","	SCF LAS VEGAS NV 890"
"	893","	","	LAS VEGAS NV 893","	","	LAS VEGAS NV 893 ","	","	SCF LAS VEGAS NV 890"
"	894","	N","	RENO NV 894","	","	RENO NV 894 ","	S","	SCF RENO NV 894"
"	895","	N","	RENO NV 895","	U","	RENO NV 894 ","	S","	SCF RENO NV 894"
"	897","	","	CARSON CITY NV 897","	U","	RENO NV 894 ","	S","	SCF RENO NV 894"
"	898","	","	SALT LAKE CITY UT 898","	","	SALT LAKE CITY UT 898 ","	","	SCF SALT LAKE CITY UT 840"
"	900","	N","	LOS ANGELES CA 900","	","	LOS ANGELES CA 900 ","	","	SCF LOS ANGELES CA 900"
"	901","	N","	LOS ANGELES CA 901","	","	LOS ANGELES CA 901 ","	","	SCF LOS ANGELES CA 900"
"	902","	N","	LOS ANGELES CA 902","	","	LOS ANGELES CA 902 ","	","	SCF LOS ANGELES CA 900"
"	903","	N","	LOS ANGELES CA 903","	","	LOS ANGELES CA 903 ","	","	SCF LOS ANGELES CA 900"
"	904","	N","	LOS ANGELES CA 904","	","	LOS ANGELES CA 904 ","	","	SCF LOS ANGELES CA 900"
"	905","	N","	LOS ANGELES CA 905","	","	LOS ANGELES CA 905 ","	","	SCF LOS ANGELES CA 900"
"	906","	N","	INDUSTRY CA 906","	","	INDUSTRY CA 906 ","	","	SCF INDUSTRY CA 917"
"	907","	N","	LOS ANGELES CA 907","	","	LOS ANGELES CA 907 ","	","	SCF LOS ANGELES CA 900"
"	908","	N","	LOS ANGELES CA 908","	","	LOS ANGELES CA 908 ","	","	SCF LOS ANGELES CA 900"
"	910","	N","	PASADENA CA 910","	","	SANTA CLARITA CA 910 ","	","	SCF SANTA CLARITA CA 913"
"	911","	N","	SANTA CLARITA CA 911","	","	SANTA CLARITA CA 911 ","	","	SCF SANTA CLARITA CA 913"
"	912","	N","	SANTA CLARITA CA 912","	","	SANTA CLARITA CA 912 ","	","	SCF SANTA CLARITA CA 913"
"	913","	N","	SANTA CLARITA CA 913","	","	SANTA CLARITA CA 913 ","	","	SCF SANTA CLARITA CA 913"
"	914","	N","	SANTA CLARITA CA 914","	","	SANTA CLARITA CA 914 ","	","	SCF SANTA CLARITA CA 913"
"	915","	N","	SANTA CLARITA CA 915","	","	SANTA CLARITA CA 915 ","	","	SCF SANTA CLARITA CA 913"
"	916","	N","	SANTA CLARITA CA 916","	","	SANTA CLARITA CA 916 ","	","	SCF SANTA CLARITA CA 913"
"	917","	N","	INDUSTRY CA 917","	","	INDUSTRY CA 917 ","	","	SCF INDUSTRY CA 917"
"	918","	N","	INDUSTRY CA 918","	","	INDUSTRY CA 918 ","	","	SCF INDUSTRY CA 917"
"	919","	N","	SAN DIEGO CA 919","	","	SAN DIEGO CA 919 ","	","	SCF SAN DIEGO CA 920"
"	920","	N","	SAN DIEGO CA 920","	","	SAN DIEGO CA 920 ","	","	SCF SAN DIEGO CA 920"
"	921","	N","	SAN DIEGO CA 921","	","	SAN DIEGO CA 921 ","	","	SCF SAN DIEGO CA 920"
"	922","	N","	SN BERNARDINO CA 922","	","	SN BERNARDINO CA 922 ","	","	SCF SN BERNARDINO CA 923"
"	923","	N","	SN BERNARDINO CA 923","	","	SN BERNARDINO CA 923 ","	","	SCF SN BERNARDINO CA 923"
"	924","	N","	SN BERNARDINO CA 924","	","	SN BERNARDINO CA 924 ","	","	SCF SN BERNARDINO CA 923"
"	925","	N","	SN BERNARDINO CA 925","	","	SN BERNARDINO CA 925 ","	","	SCF SN BERNARDINO CA 923"
"	926","	N","	SANTA ANA CA 926","	","	SANTA ANA CA 926 ","	","	SCF SANTA ANA CA 926"
"	927","	N","	SANTA ANA CA 927","	","	SANTA ANA CA 927 ","	","	SCF SANTA ANA CA 926"
"	928","	N","	ANAHEIM CA 928","	","	ANAHEIM CA 928 ","	","	ANAHEIM CA 928"
"	930","	N","	SANTA BARBARA CA 930","	","	SANTA BARBARA CA 930 ","	","	SCF SANTA BARBARA CA 931"
"	931","	N","	SANTA BARBARA CA 931","	","	SANTA BARBARA CA 931 ","	","	SCF SANTA BARBARA CA 931"
"	932","	N","	BAKERSFIELD CA 932","	","	BAKERSFIELD CA 932 ","	","	SCF BAKERSFIELD CA 932"
"	933","	N","	BAKERSFIELD CA 933","	","	BAKERSFIELD CA 933 ","	","	SCF BAKERSFIELD CA 932"
"	934","	N","	SANTA BARBARA CA 934","	","	SANTA BARBARA CA 934 ","	","	SCF SANTA BARBARA CA 931"
"	935","	N","	BAKERSFIELD CA 935","	","	BAKERSFIELD CA 935 ","	","	SCF BAKERSFIELD CA 932"
"	936","	N","	FRESNO CA 936","	","	FRESNO CA 936 ","	","	SCF FRESNO CA 936"
"	937","	N","	FRESNO CA 937","	","	FRESNO CA 937 ","	","	SCF FRESNO CA 936"
"	938","	N","	FRESNO CA 938","	","	FRESNO CA 938 ","	","	SCF FRESNO CA 936"
"	939","	N","	SAN JOSE CA 939","	","	SAN JOSE CA 939 ","	","	SCF SAN JOSE CA 950"
"	940","	N","	SAN FRANCISCO CA 940","	","	SAN FRANCISCO CA 940 ","	","	SCF SAN FRANCISCO CA 940"
"	941","	N","	SAN FRANCISCO CA 941","	","	SAN FRANCISCO CA 941 ","	","	SCF SAN FRANCISCO CA 940"
"	942","	N","	SACRAMENTO CA 942","	","	SACRAMENTO CA 942 ","	","	SCF SACRAMENTO CA 956"
"	943","	N","	SAN FRANCISCO CA 943","	","	SAN FRANCISCO CA 943 ","	","	SCF SAN FRANCISCO CA 940"
"	944","	N","	SAN FRANCISCO CA 944","	","	SAN FRANCISCO CA 944 ","	","	SCF SAN FRANCISCO CA 940"
"	945","	N","	OAKLAND CA 945","	","	OAKLAND CA 945 ","	","	SCF OAKLAND CA 945"
"	946","	N","	OAKLAND CA 946","	","	OAKLAND CA 946 ","	","	SCF OAKLAND CA 945"
"	947","	N","	OAKLAND CA 947","	","	OAKLAND CA 947 ","	","	SCF OAKLAND CA 945"
